ID	NAME	logFC: WT NaCl response	FDR: WT NaCl response	logFC: msn24 mutant NaCl response	FDR: msn24 mutant NaCl response	logFC: yap1 mutant NaCl response	FDR: yap1 mutant NaCl response	logFC: skn7 mutant NaCl response	FDR: skn7 mutant NaCl response	logFC: WT EtOH response	FDR: WT EtOH response	logFC:  msn24 mutant EtOH response	FDR:  msn24 mutan  EtOH response	logFC:  yap1 mutant EtOH response	FDR:  yap1 mutant EtOH response	logFC:  skn7 mutant EtOH response	FDR:  skn7 mutant EtOH response	logFC: WT v msn24 mutant: NaCl response	FDR: WT v msn24 mutant: NaCl response	logFC: WT v yap1 mutant: NaCl response	FDR: WT v yap1 mutant: NaCl response	logFC: WT v skn7 mutant: NaCl response	FDR: WT v skn7 mutant NaCl response	logFC: WT v msn24 mutant: EtOH response	FDR: WT v msn24 mutant: EtOH response	logFC: WT v yap1 mutant: EtOH response	FDR: WT v yap1 mutant: EtOH response	logFC: WT v skn7 mutant: EtOH response	FDR: WT v skn7 mutant: EtOH response
YPL279C	FEX2          Protein involved in fluoride export	0.69857209	6.38E-06	0.404750435	0.005778882	0.996248491	8.91E-09	0.717695825	6.05E-06	-0.492902472	0.001078842	-0.765206247	2.64E-06	-0.70096958	2.12E-05	-0.87354836	2.27E-07	-0.293821657	0.431001116	0.297676398	0.276901938	0.019123732	0.95361812	-0.272303775	0.327960494	-0.208067107	0.59548468	-0.380645888	0.229435712
YPL283C	YRF1-7          Helicase encoded by the Y' element of subtelomeric regions	0.61030614	0.46459952	0.023795497	0.978116958	-0.290959029	0.715003815	2.217823774	0.008490872	-3.193233084	0.019617825	-3.771755971	0.00480968	-3.498749194	0.002036636	-0.910120956	0.418204047	-0.586510639	0.872191691	-0.901265166	0.587399464	1.607517638	0.287966596	-0.578522888	0.882974338	-0.305516111	0.97823967	2.283112127	0.47319753
YPR001W	CIT3          Dual specificity mitochondrial citrate and methylcitrate synthase	1.09898692	0.00046315	1.066869491	0.000621162	0.645011634	0.053609001	0.836118	0.006848695	1.875563663	2.37E-08	2.962457539	1.53E-14	2.176941734	7.42E-10	2.165923429	1.56E-10	-0.032117427	0.983924001	-0.453975284	0.485194278	-0.262868918	0.666345362	1.086893876	0.029825259	0.301378071	0.72445659	0.290359766	0.711612306
YPR002W	PDH1          Putative 2-methylcitrate dehydratase	0.80766246	0.00764631	0.684859533	0.015214223	-0.316599795	0.353487788	0.54674999	0.076048186	2.523166778	2.40E-12	4.016307372	1.06E-19	2.652836078	3.41E-13	2.879539282	1.73E-14	-0.122802925	0.925280721	-1.124262253	0.046042213	-0.260912468	0.666907584	1.493140594	0.001152293	0.1296693	0.88833698	0.356372505	0.619709469
YPR003C	YPR003C          Putative sulfate permease	1.90138537	6.52E-23	1.480980089	5.04E-19	1.657591241	1.27E-20	1.142535932	4.54E-15	1.45623129	4.55E-19	0.866469251	1.26E-11	1.413922633	1.62E-18	1.045734856	2.39E-14	-0.42040528	0.027159176	-0.243794128	0.181506861	-0.758849437	9.79E-06	-0.589762038	0.000421984	-0.042308656	0.89740115	-0.410496433	0.035448608
YPR004C	AIM45          Putative ortholog of mammalian ETF-alpha	-0.0269688	0.80720203	0.090995822	0.403689802	0.226272801	0.036015222	0.035462471	0.759814232	0.069350778	0.518038207	0.162919548	0.129493032	0.16584836	0.118439373	0.010611086	0.925510386	0.117964656	0.750696495	0.253241635	0.202269101	0.062431305	0.780431471	0.09356877	0.680976012	0.096497582	0.75600057	-0.058739691	0.854652328
YPR005C	HAL1          Cytoplasmic protein involved in halotolerance	1.13650696	1.17E-07	1.357189693	1.45E-09	1.160168938	1.13E-07	1.376807519	3.52E-09	1.023894016	1.10E-06	0.433579961	0.023465617	0.70712835	0.000422104	1.315480118	5.35E-09	0.220682734	0.723957947	0.02366198	0.96197356	0.240300561	0.508448298	-0.590314055	0.075649407	-0.316765667	0.50123717	0.291586102	0.536096362
YPR006C	ICL2          2-methylisocitrate lyase of the mitochondrial matrix	0.82978647	0.04486584	1.141808413	0.009303521	1.02267977	0.015853414	1.344407875	0.001692442	2.287946868	1.24E-07	1.930058773	9.94E-06	2.355514898	7.34E-08	2.325744991	1.06E-07	0.312021946	0.861888163	0.192893303	0.84897669	0.514621408	0.519345753	-0.357888094	0.68480608	0.06756803	0.96320293	0.037798123	0.977861518
YPR008W	HAA1          Transcriptional activator involved in adaptation to weak acid stress	-0.4012345	7.31E-05	-0.871762572	7.57E-12	-0.379977944	0.000175933	-0.457288257	1.44E-05	1.549695929	7.27E-21	1.043917135	8.66E-15	1.628570235	1.22E-21	1.593667648	2.95E-21	-0.470528107	0.00931228	0.021256521	0.92975571	-0.056053792	0.780431471	-0.505778794	0.001257905	0.078874306	0.7697391	0.043971719	0.881227248
YPR009W	SUT2          Zn2Cys6 family transcription factor	-1.9668815	1.64E-17	-1.448634418	5.76E-13	-1.563612918	2.06E-14	-2.025736266	7.72E-17	-0.935012099	1.01E-08	-0.999500861	4.10E-09	-1.066117887	3.96E-10	-0.923078511	1.73E-08	0.518247105	0.091761034	0.403268605	0.126021304	-0.058854743	0.859045953	-0.064488762	0.841679937	-0.131105788	0.74183945	0.011933589	0.98126601
YPR010C	RPA135          RNA polymerase I second largest subunit A135	-0.8843806	2.15E-12	-1.14649487	8.11E-16	-1.045135451	1.64E-14	-0.367868307	0.00025195	-3.87237193	8.87E-34	-2.999520129	4.58E-30	-3.812390481	1.24E-33	-3.66314364	6.03E-33	-0.262114264	0.228604357	-0.160754846	0.387154088	0.516512299	0.001257559	0.872851801	3.51E-07	0.059981449	0.84333811	0.20922829	0.335967321
YPR010C-A	MIN8          Protein of unknown function	-0.5478779	0.00196273	-0.719103685	0.000104941	-0.377141862	0.03180801	-0.608335901	0.000841493	-0.643302227	0.000363198	-1.292590552	1.62E-09	-0.476747204	0.006699232	-0.898268155	2.73E-06	-0.171225736	0.786557468	0.170736087	0.644190608	-0.060457952	0.874839104	-0.649288326	0.029797104	0.166555023	0.73696897	-0.254965928	0.555823822
YPR011C	MRX21          Mitochondrial transporter	-0.4858622	8.94E-05	-0.423263191	0.000601166	0.002322725	0.985579059	-0.199923966	0.096934194	0.463616914	0.000121558	0.34391024	0.003612135	0.579900908	5.13E-06	0.383437897	0.001249503	0.06259905	0.906632163	0.488184967	0.018425148	0.285938276	0.163359371	-0.119706674	0.618688673	0.116283994	0.72376142	-0.080179018	0.809514657
YPR013C	CMR3          Putative zinc finger protein	-0.7537787	2.70E-07	-0.085070087	0.517041908	-0.655675945	4.07E-06	0.280699917	0.028467892	-0.897486004	6.86E-09	-0.209804213	0.101091512	-1.014870127	2.89E-10	-0.637371526	4.95E-06	0.668708584	0.004885681	0.098102725	0.735648678	1.034478588	4.27E-06	0.687681792	0.001515575	-0.117384123	0.7581244	0.260114478	0.384221418
YPR015C	YPR015C          Putative zinc finger transcription factor	1.43501951	0.00112591	1.519880819	0.000822009	0.153602853	0.74515925	0.639465642	0.10533001	-0.71018961	0.177225266	-0.854363021	0.110246669	-1.331053641	0.012153386	-1.756423821	0.000309522	0.084861313	0.973746532	-1.281416653	0.112082557	-0.795553864	0.27840455	-0.144173411	0.90918351	-0.620864031	0.67467438	-1.046234211	0.369249243
YPR016C	TIF6          Constituent of 66S pre-ribosomal particles	-0.3305728	0.00217376	-0.388882511	0.000400924	-0.330259904	0.002296824	-0.063099147	0.569104112	-1.502061871	2.40E-18	-1.332266894	1.94E-16	-1.420744527	1.70E-17	-1.560760022	7.63E-19	-0.058309715	0.904441288	0.000312891	0.999754133	0.267473649	0.143469737	0.169794977	0.407552534	0.081317343	0.79675262	-0.058698151	0.854051335
YPR017C	DSS4          Guanine nucleotide dissociation stimulator for Sec4p	-0.4724967	0.01431216	-0.136573527	0.49138733	-0.453311073	0.024343977	-0.411470916	0.03732851	-0.477083595	0.013810218	-0.072870837	0.715810978	-0.550670128	0.006192858	-0.494878348	0.010760682	0.335923129	0.530926654	0.019185583	0.97112686	0.06102574	0.885604121	0.404212758	0.251046267	-0.073586533	0.91539274	-0.017794753	0.979181822
YPR018W	RLF2          Largest subunit (p90) of the Chromatin Assembly Complex (CAF-1)	-0.333264	0.10928416	-0.606652382	0.004822446	-0.541302946	0.011263343	-0.776607639	0.00045953	-0.811192503	0.00027434	-0.595345209	0.005042657	-1.396432845	3.54E-08	-0.896142074	5.42E-05	-0.273388404	0.682913089	-0.208038969	0.64193386	-0.443343661	0.232796886	0.215847293	0.625245675	-0.585240343	0.21619354	-0.084949572	0.901660094
YPR019W	MCM4          Essential helicase component of heterohexameric MCM2-7 complexes	-0.4030446	1.63E-05	-0.692276851	2.25E-10	-0.348201618	0.00015939	-0.171869269	0.051387089	0.006417218	0.944152393	-0.088251476	0.315302495	0.031636161	0.723404754	-0.13858719	0.107265271	-0.289232225	0.120121384	0.054843007	0.784428354	0.231175357	0.121680587	-0.094668694	0.595874802	0.025218943	0.93400951	-0.145004408	0.490413053
YPR020W	ATP20          Subunit g of the mitochondrial F1F0 ATP synthase	-1.4832062	8.76E-14	-1.333794316	2.65E-12	-0.639348202	2.88E-05	-1.061649138	1.73E-09	-1.232276297	1.46E-11	-1.322955497	2.49E-12	-0.857286904	1.27E-07	-1.039226579	1.51E-09	0.149411861	0.767586799	0.843857975	0.000707212	0.421557039	0.082694546	-0.0906792	0.774765286	0.374989393	0.23118368	0.193049719	0.591924564
YPR021C	AGC1          Mitochondrial amino acid transporter	-0.636707	6.97E-07	-0.644610969	7.94E-07	-0.61065221	2.68E-06	-0.405960313	0.000863583	0.267366572	0.017508419	0.459372627	0.000108509	0.561229886	4.99E-06	0.457836023	0.000114251	-0.007904012	0.98878583	0.026054748	0.929381769	0.230746644	0.262639845	0.192006055	0.373833436	0.293863314	0.23951576	0.190469451	0.484950894
YPR022C	"SDD4          Putative transcription factor, as suggested by computational analysis"	-0.158884	0.06086443	-0.19725006	0.021494714	-0.117065229	0.176531693	0.159758204	0.065377078	-0.336198586	0.000164573	-0.284222308	0.001167716	-0.28963556	0.00102117	-0.185930964	0.029643226	-0.038366084	0.920088942	0.041818747	0.837706285	0.318642179	0.025810516	0.051976277	0.78504509	0.046563026	0.86749866	0.150267622	0.462355132
YPR023C	EAF3          Component of the Rpd3S histone deacetylase complex	0.33513264	8.55E-05	0.390367428	9.44E-06	0.477540509	2.69E-07	0.577828809	4.77E-09	0.017998732	0.831301475	0.003025945	0.973680886	0.129936234	0.110363631	0.402274954	5.65E-06	0.055234785	0.875682379	0.142407865	0.368005216	0.242696165	0.078948752	-0.014972787	0.93690516	0.111937502	0.5981178	0.384276223	0.015024242
YPR024W	YME1          Catalytic subunit of i-AAA protease complex	0.57409257	1.80E-07	0.099759122	0.309193848	0.426349528	3.99E-05	0.282233769	0.004615626	0.957558039	2.60E-13	0.646142246	1.37E-08	0.72746836	6.30E-10	0.58309791	1.12E-07	-0.474333447	0.008775133	-0.147743041	0.445002905	-0.291858799	0.07557299	-0.311415793	0.062996801	-0.230089678	0.292659	-0.374460128	0.052685969
